commodity,brand,specification,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec
Bread - Pandesal,Gardenia,225g,48,,,,,,,,,,,
Bread - Pandesal,Pinoy,250g,25,25,25,27.25,27.25,27.25,27.25,27.25,27.25,27.25,27.25,27.25
Bread - Pandesal,Tiffany's,390g,,,,,,,,,,,,
Bread - Pandesal,Uncle George,390g,,,,,,,,,,,,
Candles,5 Star,25pcs./pack,106,106,106,115.5,106,115.5,115.5,115.5,115.5,115.5,115.5,115.5
Candles,5 Star,5pcs./pack,150.25,150.25,150.25,150.25,150.25,,137.75,150.25,150.25,,150.25,
Candles,5 Star,4pcs./pack,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25
Candles,5 Star,2pcs./pack,117.75,108,108,117.75,117.75,117.75,117.75,117.75,117.75,117.75,117.75,117.75
Candles,5 Star,20pcs./pack,54.25,,,54.25,54.25,54.25,54.25,54.25,54.25,54.25,54.25,54.25
Candles,Export,20pcs./pack,39,,,39,39,,38.25,32,,37,32,32
Candles,Export,20pcs./pack,85,,,85,85,85,,85,,72,85,73
Candles,Export,10pcs./pack,72.75,,,72.75,72.75,,72.25,72.75,,,,65
Candles,Export,8pcs./pack,72.75,,,72.75,72.75,61.95,72.75,72.75,62.75,65,,62.75
Candles,Export,4pcs./pack,36.25,36.25,36.25,36.25,36.25,,36.25,36.25,36.25,36.25,,36.25
Candles,Export,4pcs./pack,48.5,48.5,48.5,48.5,48.5,,48.5,48.5,48.5,48.5,39.5,39.5
Candles,Export,4pcs./pack,97,97,97,97,97,97,97,97,97,97,97,97
Candles,Export,2pcs./pack,66.75,,,66.75,66.75,,60,56,57.5,,,57
Candles,Export,4pcs./pack,121.5,121.5,121.5,121.5,121.5,,121.5,121.5,110.25,121.5,,
Candles,Export,20pcs./pack,60.5,60.5,60.5,60.5,60.5,,60,60.5,56.25,60.5,60.5,60.5
Candles,Export,12pcs./pack,60.5,60.5,60.5,49,49,49,49,49,49,49,,51.75
Candles,Export,10pcs./pack,72.75,72.75,72.75,72.75,72.75,58,72.75,72.75,62.5,72.75,58,58
Candles,Export,12pcs./pack,60.5,,,60.5,60.5,,,,,,55.25,55.25
Candles,Export,12pcs./pack,60.5,,,60.5,60.5,,,,,,,
Candles,Export,4pcs./pack,54.5,,,54.5,54.5,,,50.25,50.25,54.5,46.5,46.5
Candles,Export,4pcs./pack,54.5,,,54.5,54.5,,,,,,,
Candles,Export,6pcs./pack,85,,,85,85,85,,,,,85,
Candles,Export,6pcs./pack,85,,,85,85,,,,,85,,
Candles,Joy,20pcs./pack,,,,,50,,47.75,47.75,46.75,51.5,,
Candles,Joy,4pcs./pack,,50,50,,49,,49,49,52,50.35,52.5,52
Candles,Joy,4pcs./pack,,73,73,,73.4,,77,77,77,77,77,80
Candles,Joy,2pcs./pack,,50,50,,,,53,50,55,53.5,53.35,53.3
Candles,Joy,2pcs./pack,,84.75,84.75,,,,,132,135,123.5,116.3,122.25
Candles,Glow,10pcs./pack,,59.5,59.5,,,,,,,,,
Candles,Glow,4pcs./pack,44.75,56,56,50.5,51,44.75,56,54,44.75,44.75,44.75,44.75
Candles,Glow,2pcs./pack,,67.5,67.5,,,,,,,,,
Candles,Glow,2pcs./pack,165,165,165,,165,,195,165,165,165,165,165
Candles,Liwanag,20pcs./pack,65.78,62.25,62.25,62.25,62.25,64.75,62.25,62.25,62.25,62.25,62.25,62.25
Candles,Liwanag,20pcs./pack,83,87.75,87.75,87.75,88.05,87.75,88.05,86.75,86.75,86.75,86.75,86.75
Candles,Liwanag,4pcs./pack,47.75,49,49,,,,,,,,,
Candles,Liwanag,4pcs./pack,,30.75,30.75,23.75,26.55,26.55,26.55,26.55,26.55,26.55,26.55,26.55
Candles,Liwanag,4pcs./pack,,29.35,29.35,31,44,29.95,28.55,29.95,29.95,28.55,29.95,35
Candles,Liwanag,4pcs./pack,44,44,44,44,44,44,44,44,44,44,44,44
Candles,Liwanag,2pcs./pack,,24.65,24.65,24.65,,24.65,,23.65,,23.5,,24.75
Candles,Liwanag,4pcs./pack,72,72,72,74.75,72,72,76.1,72,74.75,74.75,74.75,74.75
Candles,Liwanag,2pcs./pack,82.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5
Candles,Liwanag,2pcs./pack,177.5,177.5,177.5,177.5,177.5,177.5,177.5,177.5,177.5,177.5,177.5,177.5
Candles,Liwanag,6pcs./pack,89,89,89,,,,,,,,,
Candles,Manila Wax,10 pcs./pack,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75
Candles,Manila Wax,20pcs./pack,,63.75,63.75,53.25,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75
Candles,Manila Wax,20pcs./pack,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75
Candles,Manila Wax,4pcs./pack,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75
Candles,Manila Wax,2pcs./pack,59.41,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75
Candles,Manila Wax,6 pcs./pack,82.76,81.75,81.75,73.35,82.76,81.75,81.75,81.75,81.75,81.75,81.75,81.75
Candles,Manila Wax,6 pcs./pack,82.76,82.76,82.76,82.76,82.76,81.75,,82,81.75,82,81.75,81.75
Candles,Manila Wax,6 pcs./pack,71.09,71,71,71,71.09,71,71,71,71,71,71,71
Candles,Manila Wax,6 pcs./pack,71.09,71.09,71.09,71.09,71.09,71,71,,71,71,71,71
Candles,Manila Wax,6 pcs./pack,58.75,59.41,59.41,58.75,59.41,58.75,58.75,58.75,58.75,58.75,58.75,58.75
Candles,Manila Wax,6 pcs./pack,59.41,59.41,59.41,59.41,59.41,58.75,58.75,58.75,,49.75,58.75,58.75
Canned Sardines in tomato sauce,555,155g,19.65,134.5,,19.65,19.65,,,,,,,
