commodity,brand,specification,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec
Condiments - Vinegar,Marca Pina,385ml,19.5,19.5,19.5,19.75,19.5,19.5,19.5,19.5,19.5,20,20,20
Condiments - Vinegar,Marca Pina,500ml,,23.95,25,,23.95,25,46,27.05,27.1,27.1,25.5,27
Condiments - Vinegar,Marca Pina,1L,43.35,46.95,41.5,41.5,47.75,41.5,46.95,46.95,49.25,42.5,49.25,42.5
Condiments - Vinegar,Silver Swan,350ml,,,,18.75,,,,,,,,
Condiments - Vinegar,Silver Swan,350ml,18,16.5,18,18,18,18,18,18,18,18,18,18
Condiments - Vinegar,Silver Swan,350ml,18,18,18,18,,,,,,,,
Condiments - Vinegar,Silver Swan,200ml,7.75,7.75,8.25,7.75,7.75,7.75,7.4,7.75,7.4,7.4,7.4,7.4
Condiments - Vinegar,Silver Swan,200ml,8.5,,8.5,8.5,,,,,,,,
Condiments - Vinegar,Silver Swan,1L,39,39,39,41.25,41.25,39.5,39,41.25,41.25,41.25,41.25,41.25
Condiments - Vinegar,SM Bonus,350ml,13.75,13.75,13.75,13.75,13.75,13.75,,13.75,13.75,13.75,13.75,13.75
Condiments - Vinegar,SM Bonus,1L,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75
Condiments - Vinegar,SM Bonus,1L,,32,32,32,32,32,32,32,32,32,32,32
Toilet Soap,Antabax,75g,,13.75,13.75,,13.75,,,,,,,
Toilet Soap,Antabax,75g,13.75,13.75,13.75,,13.75,,,,,,,
Toilet Soap,Antabax,75g,13.75,13.75,13.75,,13.75,,,,,,,
Toilet Soap,Antabax,75g,13.75,13.75,13.75,,13.75,,,,,,,
Toilet Soap,Antabax,75g,,,13.75,,,,,,,,,
Toilet Soap,Antabax,110g,29.75,29.75,29.75,,30.75,30.75,30.75,30.75,,31,31,31
Toilet Soap,Antabax,110g,29.75,29.75,29.75,,30.75,30.75,30.75,30.75,,31,31,31
Toilet Soap,Antabax,110g,29.75,29.75,29.75,,30.75,30.75,30.75,30.75,,31,31,31
Toilet Soap,Antabax,110g,29.75,29.75,29.75,,30.75,30.75,30.75,30.75,,31,31,31
Toilet Soap,Antabax,110g,,,29.75,,,,,30.75,,,,
Toilet Soap,Bioderm,55g,,17.25,,,,,,,,,,
Toilet Soap,Bioderm,90g,31.5,31.5,36.75,,31.5,31.5,31.5,31.5,,36.75,31.5,36.75
Toilet Soap,Bioderm,135g,42,42,45.25,,42,42,42,42,,42,42,42
Toilet Soap,Bioderm,55g,,17,,,,,,,,,,
Toilet Soap,Bioderm,90g,34.75,31,34.75,,31,34.75,34.75,31,,34.75,34.75,34.75
Toilet Soap,Bioderm,135g,46.75,41,46.75,,41,41,41,41,,41,41,41
Toilet Soap,Bioderm,55g,17,17,,,,,,,,,,
Toilet Soap,Bioderm,90g,31,31,34.75,,34.75,34.75,34.75,34.75,,34.75,34.75,31
Toilet Soap,Bioderm,135g,46.75,41,46.75,,41,41,41,41,,41,41,41
Toilet Soap,Bioderm,55g,,17,,,,,,,905,,,
Toilet Soap,Bioderm,90g,34.75,34.75,34.75,,31,31,34.75,31,,34.75,34.75,34.75
Toilet Soap,Bioderm,135g,46.75,46.75,46.75,1400,41,46.75,46.75,41,,46.75,46.75,41
Toilet Soap,Green Cross,55g,15,15,15,,15,15,15,15,,15,15,15
Toilet Soap,Green Cross,85g,25.75,25.75,25.75,,25.75,25.75,25.75,25.75,920,25.75,25.75,25.75
Toilet Soap,Green Cross,125g,37.25,37.25,37.25,920,37.25,37.25,37.25,37.25,950,37.25,37.25,37.25
Toilet Soap,Green Cross,55g,14.75,14.75,15.5,930,15.25,15.25,15.25,15.25,910,16,15.25,15.25
Toilet Soap,Green Cross,85g,,28,28.05,,30,27,30,28,910,28,28,28
Toilet Soap,Green Cross,125g,36.5,36.5,36.5,,37.75,37.75,37.75,37.75,1300,37.75,37.75,37.75
Toilet Soap,Green Cross,55g,14.75,14.75,15.5,,15.25,15.25,15.25,15.25,,16,16,15.25
Toilet Soap,Green Cross,85g,28,26.75,28,,28,28,28,28,,28,28,28
Toilet Soap,Green Cross,125g,36.5,36.5,36.5,,37.75,37.75,37.75,37.75,,37.75,37.75,37.7
Toilet Soap,Green Cross,55g,15,14.75,14.75,,15.25,15.25,15.25,15.25,,16,16,16
Toilet Soap,Green Cross,85g,28,26.75,26.75,,28,28,28,28,920,28,28,28
Toilet Soap,Green Cross,125g,36.5,36.5,36.5,,37.75,37.75,37.75,37.75,,37.75,37.75,37.7
Toilet Soap,Hygienix,125g,37.75,40,41.75,,37.75,37.75,41.75,39,,39,40,40
Toilet Soap,Lifebuoy,110g,,,,,,,41.75,,,,,
Toilet Soap,Lifebuoy,110g,,44,,,,,,,,,,
Toilet Soap,Palmolive ,55g,17,,17,,,,,,,,,
Toilet Soap,Palmolive ,55g,17,,17,,,,,,,,,
Toilet Soap,Palmolive ,55g,17,,17,,,,,,,,,
Toilet Soap,Palmolive ,80g,,,,810,,,,,,,,
Toilet Soap,Palmolive ,55g,15.85,14.75,14.75,,14.75,15.5,15.5,15.5,,15.5,15.5,15.5
Toilet Soap,Palmolive ,115g,37,48.5,41,,41,41.75,43.05,41.75,,43.05,41.75,41
Toilet Soap,Palmolive ,55g,17,,17,,17,,,,,17,,17
Toilet Soap,Safeguard  ,55g,19.5,19.5,19.5,,19.5,19.5,19.5,19.5,,20.5,20.5,
Toilet Soap,Safeguard  ,55g,19.5,19.5,19.5,,20.5,19.5,19.5,19.5,,20.4,,
Toilet Soap,Safeguard  ,85g,40,37,40,,39.05,40,40,40,,,,
Toilet Soap,Safeguard  ,115g,47.75,47.75,47.75,960,49,47.75,49,47.75,920,49,47.75,50
Toilet Soap,Safeguard  ,125g,51.2,49,49,1400,49.25,49,47.75,49,960,,68,
Toilet Soap,Safeguard  ,160g,65.75,65.75,65.75,1450,65.75,65.75,65.75,65.75,1300,65.75,68,67
Toilet Soap,Safeguard  ,60g,19.5,19.5,21.5,,19.5,19.5,19.5,19.5,,20.5,19.5,21.5
Toilet Soap,Safeguard  ,115g,,,49,,49,48.25,49,49,,49,,
Toilet Soap,Safeguard  ,125g,49,49,51.75,,49,49,49,49,,49,49,52
Toilet Soap,Safeguard  ,160g,,65.75,65.75,,68,65.75,65.75,68,,68,68,67
Toilet Soap,Safeguard  ,55g,19.5,19.5,19.5,,19.5,19.5,19.5,19.5,,20.4,,
Toilet Soap,Safeguard  ,85g,37,37,41.3,,,36.15,,,,,,
Toilet Soap,Safeguard  ,115g,,47.75,47.75,,47.75,47.75,49,47.75,,49,49,50
Toilet Soap,Safeguard  ,125g,47.75,49,52,840,52,49,49,49,820,,45,
Toilet Soap,Safeguard  ,160g,67,65.75,65.75,,65.75,65.75,65.75,65.75,,65.75,65.75,69.75
Toilet Soap,Safeguard  ,55g,22,18.45,18.45,,18.5,18.5,18.5,18.5,,20.4,,
Toilet Soap,Safeguard  ,82g,31.25,31.25,29.25,,29.25,29.25,29.25,29.25,,29.25,29.25,29.25
Toilet Soap,Safeguard  ,119g,49,,49,,,,,,,,,
Toilet Soap,Safeguard  ,55g,29.25,19.5,19.5,,19.5,19.5,19.5,19.5,,20.4,,
Toilet Soap,Safeguard  ,115g,47.5,47.75,47.75,,49,49,49,49,,49,49,49
Toilet Soap,Safeguard  ,160g,19.5,68,65.75,,68,65.75,65.75,65.75,,65.75,65.75,69.75
Toilet Soap,Shield,120g,47.75,47.75,,,,,,,,,,
Toilet Soap,Shield,60g,65.75,65.75,,,,,,,,,,
Toilet Soap,Shield,90g,16.75,,,,,,,,,,,
Toilet Soap,Shield,55g,33.75,16.75,16.75,,16.75,16.75,16.75,16.75,,16.75,16.75,16.75
Toilet Soap,Shield,120g,31,33.75,33.75,,33.75,33.75,33.75,33.75,,33.75,33.75,33.75
Toilet Soap,Shield,55g,33.75,16.75,16.75,,16.75,16.75,16.75,16.75,,16.75,16.75,16.75
Toilet Soap,Shield,120g,31,33.75,33.75,,33.75,33.75,33.75,33.75,,33.75,33.75,33.75
Toilet Soap,Shield,55g,,15,16.75,,15.75,14.5,14.8,14.25,,14.25,14.25,14.25
Toilet Soap,Shield,120g,31,33.75,33.75,,33.75,33.75,33.75,33.75,,33.75,33.75,33.75
Hard Flour,Angel White (Cotton),25kg/bag,,,,,,,,,,1140,,
Hard Flour,Naga Azul,25kg/bag,,,,980,,,,,,,,
Hard Flour,Atlantic Grains,25kg/bag,,,,,,,,,780,,,
Hard Flour,Pinoy Pan,25kg/bag,,,,,,,,,890,,,
Hard Flour,Baron,25kg/bag,,,,,,1150,,,,1250,1200,
Hard Flour,El Superior,25kg/bag,,,,,990,970,,,,980,,905
Hard Flour,Emperor,25kg/bag,,,,,970,,,,,,,
Hard  Flour,Family,25kg/bag,,,,,,,,,,,1250,
Hard Flour,General,25kg/bag,,,,,940,,,,,,,910
Hard Flour,Globe,25kg/bag,,,980,,980,960,,,,980,980,980
Hard Flour,Gold Fish,25kg/bag,,,,,,,,,,980,1000,960
Hard Flour,Golden Wheat,25kg/bag,,,,,,,,,,1400,1150,
Hard Flour,King,25kg/bag,,950,,,950,,,,,960,970,
Hard Flour,Kutitap,25kg/bag,,,,30.5,930,,,,,,,
Hard Flour,Lapu-Lapu,25kg/bag,,,,34,,,,,,,,
Hard Flour,Majestic,25kg/bag,,,,41.5,,,,,,,,
Hard Flour,Makiling,25kg/bag,,,,16,,,,,,,,
Hard Flour,Master's Choice,25kg/bag,,,,25,,,,,,,,
Hard Flour,Metro Star,25kg/bag,,,,,940,,,,,,,
Hard Flour,Monarch,25kg/bag,,,,22,,940,,,,1200,,
Hard Flour,Monark,25kg/bag,,,,22.25,,,,,,,,
Hard Flour,Montana,25kg/bag,,,,19.5,,,,,,,,
Hard Flour,Morning Star,25kg/bag,,,,,930,,,,,,,
Hard Flour,Penguine,25kg/bag,,,,19,750,680,,,,750,680,
Hard Flour,Republic Special Cotton,25kg/bag,,,,17.25,,,,,,,,
Hard Flour,Republic Special Plastic Polybag,25kg/bag,,,,17,,,,,,,,
Hard Flour,Silver Star,25kg/bag,,,,58.75,930,,,,,,,
Hard Flour,Sno-White,25kg/bag,,,,22,,,,,,930,,
Hard Flour,Sun Moon Star,25kg/bag,,,,39.75,970,,,,,,,
Hard Flour,Sunshine,25kg/bag,,,,17,950,,,,,,,
Hard Flour,Vietnam (3rd Class),25kg/bag,,,,17,,,,,,,,
Hard Flour,Vinta,25kg/bag,,,,16,,,,,,,,
Hard Flour,Washington Gold,25kg/bag,,920,,37,1000,955,,,,945,930,
Hard Flour,Wellington,25kg/bag,,950,1040,37,995,980,,,,990,1000,950
Hard Flour,Wooden Spoon,25kg/bag,,,1230,29.25,,1200,,,,1500,,
Soft Flour,Ajuma,25kg/bag,,,710,49,730,700,800,,,730,,
Soft Flour,Amigo Gold,25kg/bag,,,,37,,,,,,930,,
Soft Flour,Banahaw,25kg/bag,,,,46.75,,,,,,,,
Soft Flour,Baby Panda,25kg/bag,,,,26.75,,,,,,,,
Soft Flour,Camel,25kg/bag,,,,44,,,,,,,,
Soft Flour,Cattketa,25kg/bag,,,,16.75,,,,,,,,
Soft Flour,Cattleya,25kg/bag,,,840,,850,890,,,,890,860,
Soft Flour,Cinderella (Cotton),25kg/bag,,,960,,,,,,,,,850
Soft Flour,Dragon Fish,25kg/bag,,,,,900,,,,,,,
Soft Flour,Eagle,25kg/bag,,,,,855,865,,,,850,,
Soft Flour,Gold Key (plastic),25kg/bag,,,980,,,950,,,,950,980,
Soft Flour,Mega Star,25kg/bag,,,980,,910,,,,,,,
Soft Flour,Penguin,25kg/bag,,,,,,,,,,,760,
Soft Flour,Red Dragon,25kg/bag,,,,,,850,,,,890,,
Soft Flour,Snow White,25kg/bag,,,,,,950,,,,,,
Soft Flour,Supremo,25kg/bag,,,,,950,,,,,,,
Soft Flour,White Pigeon,25kg/bag,,,,,,,,,,730,,
