commodity,brand,specification,jan,feb
Processed Milk - Evaporada,Angel,140ml,0,
Processed Milk - Evaporada,Angel,365ml,,
Processed Milk - Evaporada,Angel,410ml,32,32
Processed Milk - Evaporada,Cow Bell,370mL,,
Processed Milk - Evaporada,F & N,360ml (380g),33.5,33.5
Processed Milk - Evaporada,Jersey,370ml,31,31
Processed Milk - Evaporada,Healthy Cow,370ml,28.75,28.75
Processed Milk - Evaporada,Marie,380g,31,31
Processed Milk - Evaporated,Alaska,140ml,28.2,28.2
Processed Milk - Evaporated,Alaska,360ml,54.75,54.75
Processed Milk - Evaporated,Alaska,250ml,,
Processed Milk - Evaporated,Alpine,140ml,41.75,41.75
Processed Milk - Evaporated,Alpine,360ml,70,70
Processed Milk - Evaporated,Angel,370ml,48,48
Processed Milk - Evaporated,Carnation,154ml,,
Processed Milk - Evaporated,Carnation,370ml,,
Processed Milk - Evaporated,Cow Bell,360ml,30.5,30.5
Processed Milk - Evaporated,Nestle,250ml,,
Processed Milk - Powdered,Alaska,33g,9,9
Processed Milk - Powdered,Alaska,165g,,
Processed Milk - Powdered,Alaska,300g,90,90
Processed Milk - Powdered,Anchor,350g,,
Processed Milk - Powdered,Anchor,350g,,
Processed Milk - Powdered,Bear Brand,33g,11.25,11.25
Processed Milk - Powdered,Bear Brand,135g,45,45
Processed Milk - Powdered,Bear Brand,320g,,
Processed Milk - Powdered,Birch Tree,33g,10.5,8.75
Processed Milk - Powdered,Birch Tree,150g,,
Processed Milk - Powdered,Birch Tree,300g,94,94
Processed Milk - Powdered,Birch Tree,80g,,
Processed Milk - Powdered,Birch Tree,150g,70.75,70.75
Processed Milk - Powdered,Birch Tree,300g,144.45,144.45
Processed Milk - Powdered,Healthy Cow,33g,7.75,7.75
Processed Milk - Powdered,Jersey,300g,96.25,96.25
Processed Milk - Powdered,Milk Magic,350g,154.5,154.5
Processed Milk - Powdered,Nido,160g,,
Salt - Iodized Refined,Allatin,250g,0,11.95
Salt - Iodized Rock,Fidel,500g,21.25,21.25
Salt - Iodized Rock,Fidel,500g,,
Salt - Iodized Refined,Fidel,250g,12.75,12.75
Salt - Iodized Refined,Fidel,500g,25,25
Salt - Iodized Refined,Fidel,250g,,
Salt - Iodized Refined,Fidel,500g,,
Salt - Iodized Refined,Fidel,250g,11.75,11.75
Salt - Iodized Refined,Fidel,500g,23,23
Salt - Iodized Refined,Fidel,250g,,
Salt - Iodized Refined,Fidel,500g,,
Salt - Iodized Refined,K Five,250g,,
Salt - Iodized Refined,K Five,500g,,
Salt - Iodized Refined,Lasap,100g,4.25,4.25
Salt - Iodized Refined,Lasap,1kg,31.5,28.5
Salt - Iodized Refined,Lasap,250g,9.75,9.75
Salt - Iodized Refined,Lasap,500g,16,16
Salt - Iodized Refined,Marco Polo,1kg,36.5,31.15
Salt - Iodized Refined,Marco Polo,500g,18.5,18.5
Salt - Iodized Refined,Mc Cormick,150g,13.25,13.25
Salt - Iodized Refined,Mc Cormick,1kg,56.5,56.5
Salt - Iodized Refined,Mc Cormick,250g,,
Salt - Iodized Refined,Mc Cormick,500g,32,32
Salt - Iodized Refined,Metro Select,250g,,
Salt - Iodized Refined,Metro Select,1kg,,
Salt - Iodized Refined,Pure Basics,500g,17,17
Salt - Iodized Refined,RAM,250g,9.65,9.5
Salt - Iodized Refined,RAM,500g,19,17.3
Salt - Iodized Refined,Surebuy,500g,0,14.5
Salt - Iodized Refined,Surebuy,1kg,31,31
Salt - Iodized Refined,TJ,1kg,,
Salt - Iodized Refined,TJ,250g,,
Salt - Iodized Refined,UFC,1kg,38.25,39.75
Salt - Iodized Rock,Fidel,250g,11,11
Salt - Iodized Rock,Fidel,250g,,
Salt - Iodized Rock,Lasap,1kg,25,25
Salt - Iodized Rock,Lasap,250g,7,7
Salt - Iodized Rock,Lasap,500g,13.5,12.5
Salt - Iodized Rock,Mc Cormick,250g,,
Salt - Iodized Rock,Mc Cormick,1kg,,
Salt - Iodized Rock,Mc Cormick,500g,,
Salt - Iodized Rock,Pure Basics,500g,15,15
Salt - Iodized Rock,Pure Basics,1kg,21.5,21.5
Salt - Iodized Rock,Surebuy,500g,,
Salt - Iodized Rock,Surebuy,1kg,22,22
Salt - Iodized Rock,TJ,500g,,
Candles,Liwanag,6 pcs. / pack,137,108.25
Candles,Liwanag,6 pcs. / pack,89,89
Candles,Liwanag,12 pcs. / pack,78.75,78.75
Candles,Liwanag,6 pcs. / pack,82.25,82.25
Candles,Manila Wax,5 pcs. / pack,32.75,32.75
Candles,Pure Choice,4 pcs. / pack,,
Candles,Pure Choice,4 pcs. / pack,,
Candles,Pure Choice,5 pcs. / pack,,
Candles,Pure Choice,3 pcs. / pack,,
Candles,Pure Choice,20 pcs. / pack,,
Candles,Pure Choice,6 pcs. / pack,,
Candles,Glow,20 pcs. / pack,50,46.75
Candles,Glow,3 pcs. / pack,76.25,76.25
Canned Sardines in tomato sauce,Amigo,"{""weight"":""155g""}",,
Canned Sardines in tomato sauce,Master,155g,23.75,23.75
Canned Sardines in tomato sauce,Saba,155g,25,25
Canned Sardines in tomato sauce,Sallenas,155g,0,21.95
Canned Sardines in tomato sauce,Young's Town,155g,23,23
Laundry Soap,Pride,370g,26,26
Laundry Soap,Pride,370g,22.75,22.75
Laundry Soap,Surf,120g,11,11
Laundry Soap,Surf,360g,23,23
Processed Milk - Condensada,Liberty,160ml,,
Processed Milk - Condensed,Nestle,300ml,105,105
Processed Milk - Evaporada,Angel,360ml,29.5,29.5
Processed Milk - Evaporated,Angel,410ml,,
Processed Milk - Powdered,Alaska,150g,44,44
Processed Milk - Powdered,Bear Brand,300g,109.5,109.5
Salt - Iodized Rock,Fidel,1kg,31.7,31.7
