quantile,variable,coef,std_err,p_value,ci_lower,ci_upper,commodity
0.75,brent_ret_lag0,-1.4322668984571883e-08,5.050621565379985e-07,0.9774027432964913,-1.0098300398724762e-06,9.811847019033324e-07,milk_evaporated
0.75,brent_ret_lag1,4.398748747063459e-07,4.2759376777772446e-07,0.3047665105660065,-4.029377218387489e-07,1.2826874712514407e-06,milk_evaporated
0.75,brent_ret_lag2,1.297979525227895e-06,5.538802037696601e-07,0.020020214893587598,2.0624889701935095e-07,2.389710153436439e-06,milk_evaporated
0.75,brent_ret_lag3,1.2838167928539066e-06,5.579957042716262e-07,0.02236350705713654,1.839742698388235e-07,2.38365931586899e-06,milk_evaporated
0.75,brent_ret_lag4,-7.712692629323103e-07,5.248406599845214e-07,0.1431507558887817,-1.8057612334606036e-06,2.6322270759598294e-07,milk_evaporated
0.9,const,5.362969534978234e-07,9.147833359454564e-08,1.6993418232621435e-08,3.55987749588856e-07,7.166061574067908e-07,milk_evaporated
0.9,brent_ret_lag0,-9.555629742954563e-07,2.3985202759469417e-06,0.6907330134448093,-5.683188243819343e-06,3.7720622952284304e-06,milk_evaporated
0.9,brent_ret_lag1,8.048601553527266e-07,1.828212583746782e-06,0.6602024535447145,-2.798654935037962e-06,4.408375245743415e-06,milk_evaporated
0.9,brent_ret_lag2,3.8765223641923894e-06,2.8203311607915145e-06,0.17071996487186258,-1.682517097718982e-06,9.43556182610376e-06,milk_evaporated
0.9,brent_ret_lag3,3.138810577110894e-06,2.1622849871223347e-06,0.14806561876401333,-1.1231809714057531e-06,7.400802125627542e-06,milk_evaporated
0.9,brent_ret_lag4,-2.657917840465705e-06,2.7929649649804073e-06,0.3423444293836495,-8.163016912485541e-06,2.8471812315541317e-06,milk_evaporated
0.1,const,-5.014181158326221e-07,8.618340275951095e-08,2.140084617987077e-08,-6.712906980181362e-07,-3.3154553364710805e-07,milk_powdered
0.1,brent_ret_lag0,8.545460027477464e-07,2.09510491504101e-06,0.6837695374911276,-3.275029651867518e-06,4.984121657363011e-06,milk_powdered
0.1,brent_ret_lag1,2.9081594551326004e-06,2.480130949124302e-06,0.24226062652303978,-1.98032527622086e-06,7.796644186486061e-06,milk_powdered
0.1,brent_ret_lag2,-2.217184143594852e-06,2.552195223853822e-06,0.3859602027862895,-7.247711821033762e-06,2.8133435338440582e-06,milk_powdered
0.1,brent_ret_lag3,2.652753035689169e-06,2.5026980834742204e-06,0.2903533434557714,-2.2802128516850768e-06,7.585718923063415e-06,milk_powdered
0.1,brent_ret_lag4,2.225402274056084e-06,2.4638507397025846e-06,0.36741934518796904,-2.6309932020064802e-06,7.081797750118648e-06,milk_powdered
0.25,const,-1.245108026372823e-07,1.5364677256187734e-08,3.9844378594147186e-14,-1.5479548990170588e-07,-9.422611537285872e-08,milk_powdered
0.25,brent_ret_lag0,3.4137139807909205e-07,3.7907943580401293e-07,0.368847263227259,-4.058165818750763e-07,1.0885593780332603e-06,milk_powdered
0.25,brent_ret_lag1,9.74545203838347e-07,3.815089181488975e-07,0.011327149754831236,2.2256857054623515e-07,1.7265218371304588e-06,milk_powdered
0.25,brent_ret_lag2,-5.029634781789072e-07,4.081426422372011e-07,0.21917445862093776,-1.3074367562916177e-06,3.015097999338034e-07,milk_powdered
0.25,brent_ret_lag3,8.68951809928793e-07,3.8230153318216384e-07,0.02401752337691318,1.1541288554502254e-07,1.6224907343125634e-06,milk_powdered
0.25,brent_ret_lag4,5.580864857423973e-07,3.158471425912068e-07,0.07865517107504556,-6.446690586134134e-08,1.1806398773461359e-06,milk_powdered
0.5,const,-6.351338049164042e-09,2.677949505471117e-09,0.018588225029934683,-1.1629734850531883e-08,-1.0729412477962e-09,milk_powdered
0.5,brent_ret_lag0,1.470308196937178e-07,5.66601015656642e-08,0.01011139375443578,3.5350409641787266e-08,2.587112297456483e-07,milk_powdered
0.5,brent_ret_lag1,5.44541046372851e-07,5.736593965825721e-08,4.509346025454749e-18,4.3146938770976674e-07,6.576127050359354e-07,milk_powdered
0.5,brent_ret_lag2,1.3163228096268866e-07,5.705729651757472e-08,0.022005625778645253,1.9168976177530095e-08,2.4409558574784724e-07,milk_powdered
0.5,brent_ret_lag3,2.263130917274008e-07,5.7053071505350525e-08,9.926704767464845e-05,1.1385811469112785e-07,3.387680687636737e-07,milk_powdered
0.5,brent_ret_lag4,-7.40732365841434e-08,5.662511325087198e-08,0.19222468739928497,-1.8568468259903472e-07,3.753820943074792e-08,milk_powdered
0.75,const,1.0128603992190348e-07,1.328305753100421e-08,7.746768113936455e-13,7.510434820561288e-08,1.2746773163819408e-07,milk_powdered
0.75,brent_ret_lag0,1.8459245868172736e-07,2.8325913232396806e-07,0.5153078421729864,-3.737280380126377e-07,7.429129553760924e-07,milk_powdered
0.75,brent_ret_lag1,1.0299696079700237e-06,3.3430982846413916e-07,0.002333461879455242,3.710251709573833e-07,1.688914044982664e-06,milk_powdered
0.75,brent_ret_lag2,9.415292103454053e-07,3.2252441075679304e-07,0.0038822035424295343,3.05814528412966e-07,1.5772438922778445e-06,milk_powdered
0.75,brent_ret_lag3,-3.72424766966704e-08,2.849080641105594e-07,0.8961209958926416,-5.988131154307697e-07,5.24328162037429e-07,milk_powdered
0.75,brent_ret_lag4,-7.531897048144068e-07,3.3134788055278016e-07,0.024007726061658713,-1.406295967377083e-06,-1.0008344225173054e-07,milk_powdered
0.9,const,4.2769999587447314e-07,5.624242069089952e-08,8.784771097253722e-13,3.168428595208876e-07,5.385571322280587e-07,milk_powdered
0.9,brent_ret_lag0,3.9877938885107116e-07,1.289926353733957e-06,0.7575075992658542,-2.1437417175547705e-06,2.941300495256913e-06,milk_powdered
0.9,brent_ret_lag1,2.654614546692802e-06,1.4390685851847868e-06,0.06646037313831532,-1.8187471550932703e-07,5.49110380889493e-06,milk_powdered
0.9,brent_ret_lag2,3.0297033596809493e-06,1.5113259058094525e-06,0.046253059324240536,5.079064652075348e-08,6.008616072841145e-06,milk_powdered
0.9,brent_ret_lag3,-7.761145992803861e-07,1.6982053422680023e-06,0.6481177566823961,-4.123377730411102e-06,2.5711485318503302e-06,milk_powdered
0.9,brent_ret_lag4,-2.567779144928498e-06,1.7588544608052378e-06,0.1457728840477905,-6.0345852744013e-06,8.99026984544304e-07,milk_powdered
0.1,const,-4.5068674871344254e-07,1.0539690527818762e-07,2.7845247197325115e-05,-6.583488651126294e-07,-2.430246323142557e-07,patis
0.1,brent_ret_lag0,2.2073421947957197e-06,3.195124656073102e-06,0.49035532759592626,-4.087969289807045e-06,8.502653679398485e-06,patis
0.1,brent_ret_lag1,-2.6373868028828173e-06,3.357818364341311e-06,0.4329966655510229,-9.253251530435499e-06,3.978477924669863e-06,patis
0.1,brent_ret_lag2,4.179863674858842e-07,1.7133123296454972e-06,0.8074753109930206,-2.9577300587974367e-06,3.793702793769205e-06,patis
0.1,brent_ret_lag3,2.330562734710712e-06,3.4078169000882516e-06,0.49473178270004814,-4.383813440807783e-06,9.044938910229207e-06,patis
0.1,brent_ret_lag4,1.246196442324041e-06,2.2083050450072083e-06,0.5730821234749194,-3.104797527478068e-06,5.597190412126149e-06,patis
